predict_date,predict_power_consumption
20160901,4340072.21429
20160902,4230846.21429
20160903,4096348.21429
20160904,4255094.21429
20160905,4319804.21429
20160906,4216884.21429
20160907,4304022.21429
20160908,4504626.21429
20160909,4392730.21429
20160910,4300474.21429
20160911,4479966.21429
20160912,4539255.21429
20160913,4477989.21429
20160914,4354525.21429
20160915,4568169.21429
20160916,4425375.21429
20160917,4124772.21429
20160918,4555949.21429
20160919,4752427.21429
20160920,4617353.21429
20160921,4471139.21429
20160922,4696523.21429
20160923,4609037.21429
20160924,4439171.21429
20160925,4705940.21429
20160926,4644581.21429
20160927,4403959.21429
20160928,4352109.21429
20160929,4461243.21429
20160930,4280499.21429
