record_date,power_consumption,dow,doy,day,month,year,season,1_m_mean,2_m_mean,1_m_std,2_m_std
2015-03-01,2900464.0,6,60,1,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-02,3334082.0,0,61,2,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-03,3492606.0,1,62,3,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-04,3597890.0,2,63,4,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-05,1798044.0,3,64,5,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-06,1787992.0,4,65,6,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-07,3559113.0,5,66,7,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-08,2972454.0,6,67,8,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-09,3772564.0,0,68,9,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-10,3868938.0,1,69,10,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-11,3881363.0,2,70,11,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-12,3935078.0,3,71,12,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-13,3845654.0,4,72,13,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-14,3941246.5,5,73,14,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-15,3710792.0,6,74,15,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-16,3736062.0,0,75,16,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-17,3862429.0,1,76,17,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-18,3809448.0,2,77,18,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-19,3294148.0,3,78,19,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-20,2659507.0,4,79,20,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-21,3097831.0,5,80,21,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-22,3153864.0,6,81,22,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-23,3793539.0,0,82,23,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-24,3886598.0,1,83,24,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-25,3946979.0,2,84,25,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-26,3978091.0,3,85,26,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-27,3505012.0,4,86,27,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-28,3641733.0,5,87,28,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-29,3489199.0,6,88,29,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-30,3792338.0,0,89,30,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-03-31,3799367.0,1,90,31,3,2015,2,2795163.05357,3961383.09677,769697.864999,303629.486622
2015-04-01,3878931.0,2,91,1,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-02,3895444.0,3,92,2,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-03,3917458.0,4,93,3,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-04,3701865.0,5,94,4,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-05,3077103.0,6,95,5,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-06,3396784.0,0,96,6,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-07,3955773.0,1,97,7,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-08,3933520.0,2,98,8,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-09,3934117.0,3,99,9,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-10,3841726.0,4,100,10,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-11,3757337.0,5,101,11,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-12,3471838.0,6,102,12,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-13,3794991.0,0,103,13,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-14,3886747.0,1,104,14,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-15,3883621.0,2,105,15,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-16,3858169.0,3,106,16,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-17,3720202.0,4,107,17,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-18,3618044.0,5,108,18,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
